FACULTY OF HUMANITIES,,,,,,
"QUALIFICATION
CODE",QUALIFICATION NAME,"SUBJECT
CODE",SUBJECT NAME,"STUDY
PERIOD","SA/SADC STUDENT
FEE","FOREIGN
STUDENT FEE"
,,PIM5011,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,ECT226C,COMMUNICATION TECHNOLOGY II,2,"6,790","10,190"
,,EDT216C,DIGITAL TECHNOLOGY III,2,"6,790","10,190"
,,EEL216C,ELECTRONICS III,2,"6,790","10,190"
,,EMT226C,"ELECTRICAL MACHINES
TECHNOLOGY II",2,"6,790","10,190"
,,ENW225C,NETWORK I,2,"4,270","6 ,410"
,,EPG216C,ENGINEERING PROGRAMMING II,2,"6,790","10,190"
,,ETM226C,TECHNOLOGY MANAGEMENT III,2,"6,790","10,190"
,,ECT317E,COMMUNICATIONS TECHNOLOGY III,3,"6,790","10,190"
,,EEM327C,ENERGY MANAGEMENT III,3,"6,790","10,190"
,,EEP317E,ELECTRICAL PROTECTION III,3,"6,790","10,190"
,,EMT317E,"ELECTRICAL MACHINES
TECHNOLOGY III",3,"6,790","10,190"
,,ENT317C,ENERGY TECHNOLOGIES III,3,"6,790","10,190"
,,ENW316E,NETWORKS II,3,"6,790","10,190"
,,ENW327E,NETWORKS III,3,"6,790","10,190"
,,EPC327C,PROCESS CONTROL III,3,"6,790","10,190"
,,EPE317C,POWER ELECTRONICS III,3,"6,790","10,190"
,,EPG317E,ENGINEERING PROGRAMMING III,3,"6,790","10,190"
,,EPS327E,POWER SYSTEMS III,3,"6,790","10,190"
B_MEC,"BACHELOR ENG TECH IN
MECHANICAL ENGINEERING",BDL11A,BASIC DIGITAL LITERACY,1,"3,990","5 ,980"
,,LCS5011,"ACADEMIC LITERACY AND
COMMUNICATION STUDIES",1,"1,480","2 ,210"
,,MAM12A,MACHINE MECHANICS I,1,"4,640","6 ,960"
,,MEC12A,ENGINEERING CAD DRAWING I,1,"4,640","6 ,960"
,,MEM11A,ENGINEERING MATHEMATICS I,1,"4,640","6 ,960"
,,MEM12A,ENGINEERING MATHEMATICS II,1,"4,640","6 ,960"
,,MEP11A,ENGINEERING PHYSICS I,1,"5,240","7 ,860"
,,MMA12A,ENGINEERING MATERIALS I,1,"4,640","6 ,960"
,,MTF12A,THERMOFLUIDS I,1,"4,640","6 ,960"
,,MWP11A,"MANUFACTURING & WORKSHOP
PRACTICE I",1,"4,640","6 ,960"
,,PIM5011,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,MAM21A,MACHINE MECHANICS II,2,"4,640","6 ,960"
,,MAM22A,MACHINE MECHANICS III,2,"4,650","6 ,970"
,,MDE21A,ENGINEERING DESIGN II,2,"4,640","6 ,960"
,,MDE22A,ENGINEERING DESIGN III,2,"4,640","6 ,960"
,,MEM21A,ENGINEERING MATHEMATICS III,2,"4,640","6 ,960"
,,MEN22A,ENERGY TECHNOLOGY III,2,"4,640","6 ,960"
,,MET22A,ELECTRICAL TECHNOLOGY II,2,"4,640","6 ,960"
,,MMF22A,ENGINEERING MANUFACTURING II,2,"4,640","6 ,960"
,,MPR22A,"ENGINEERING PROJECT
MANAGEMENT",2,"4,640","6 ,960"
,,MST21A,"ENGINEERING STRENGTH OF
MATERIALS II",2,"4,640","6 ,960"
,,MTF21A,THERMOFLUIDS II,2,"4,640","6 ,960"
,,MCS32A,CONTROL SYSTEMS III,3,"4,640","6 ,960"
,,MDP30A,ENGINEERING DESIGN PROJECT,3,"4,640","6 ,960"
,,MET31A,ELECTRICAL TECHNOLOGY III,3,"4,640","6 ,960"
,,MFS31A,FLUID SCIENCE III,3,"4,640","6 ,960"
,,MHM32A,HYDRODYNAMIC MACHINES III,3,"4,640","6 ,960"
,,MMF31A,ENGINEERING MANUFACTURING III,3,"4,640","6 ,960"
,,MRF32A,REFRIGERATION III,3,"4,640","6 ,960"
,,MSA32A,STRUCTURAL ANALYSIS III,3,"4,640","6 ,960"
,,MST31A,"ENGINEERING STRENGTH OF
MATERIALS III",3,"3,830","5 ,740"
,,MTS31A,THERMAL SCIENCE III,3,"4,650","6 ,970"
H_BMEC,"BACHELOR OF ENGINEERING
TECHNOLOGY HONOURS IN
MECHANICAL ENGINEERING",MMSC418,Materials Science,1,"6,220","9 ,330"
,,MDMA418,Design for Manufacturing,1,"6,220","9 ,330"
,,MMEN418,Maintenance Engineering,1,"6,220","9 ,330"
,,MSEN418,Systems Engineering,1,"3,110","4 ,670"
,,MREP408,Research Project,1,"12,440","18,650"
,,MSTA428,Stress Analysis,1,"6,220","9 ,330"
,,MADM428,Advanced Manufacturing,1,"6,220","9 ,330"
,,MESD428,Energy Systems Design and Analysis,1,"6,220","9 ,330"
,,MEMT428,Engineering Management,1,"3,110","4 ,670"
BSHWRM,"BSC HYDRO & WATER
MANAGEMENT",AMM5012,APPLIED MATHEMATICS,1,"3,670","5 ,500"
,,CHE5011,CHEMISTRY,1,"3,500","5 ,240"
,,DLC5011,BASIC DIGITAL LITERACY,1,"3,290","4 ,940"
,,EVS5012,ENVIRONMENTAL SCIENCE,1,"3,670","5 ,500"
,,HYD5012,HYDROLOGY I,1,"3,670","5 ,500"
,,LCS5011,"ACADEMIC LITERACY AND
COMMUNICATION STUDIES",1,"1,480","2 ,210"
,,MAT11A,MATHEMATICS I,1,"4,640","6 ,960"
,,PIM5011,"PERSONAL INFORMATION
MANAGEMENT",1,-,-
,,PYC5011,PHYSICS,1,"3,500","5 ,240"
,,WTM5012,WATER RESOURCES MANAGEMENT I,1,"3,670","5 ,500"
,,EVM6022,ENVIRONMENTAL ENGINEERING,2,"4,370","6 ,550"
,,GHR6000,GEO-HYDROLOGY,2,"4,370","6 ,550"
,,HDC6000,HYDRO CHEMISTRY,2,"4,370","6 ,550"
,,HYD6000,HYDROLOGY II,2,"4,370","6 ,550"
,,WIL6022,"WORK INTERGRATED LEARNING
(GENERAL)",2,"4,550","6 ,820"
,,WTM6000,"WATER RESOURCES MANAGEMENT
II",2,"4,370","6 ,550"
,,AWT7000,"ADVANCED WATER AND WASTE
TREATMENT TECHNOLOGY",3,"5,870","8 ,800"
,,HYD7000,HYDROLOGY III,3,"5,870","8 ,800"
,,RDM7000,"RETICULATION DESIGN AND
MANAGEMENT",3,"5,870","8 ,800"
,,WIL7000,WORK INTEGRATED LEARNING,3,"3,230","4 ,850"
,,WTM7000,"WATER RESOURCES MANAGEMENT
III",3,"5,870","8 ,800"
M_ENGC,"MASTER OF ENGINEERING IN
CIVIL ENGINEER",VER50AI,DISSERTATION,1,"30,390","45,580"
M_ENGE,"MASTER OF ENGINEERING IN
ELECTRICAL ENGINEERING",VHA50AI,DISSERTATION,1,"30,390","45,580"
M_ENGM,"MASTER OF ENGINEERING IN
MECHANICAL ENGINEERING",VHD50AI,DISSERTATION,1,"30,390","45,580"
M_ITEC,"MASTER OF INFORMATION
TECHNOLOGY",VER50AB,DISSERTATION,1,"30,390","45,580"
D_ENGC,"DOCTOR OF ENGINEERING IN
CIVIL ENGINEERING",GVN90AI,"ADVANCED RESEARCH PROJECT
AND THESIS",1,"36,760","55,130"
D_ENGE,"DOCTOR OF ENGINEERING IN
ELECTRICAL ENGINEERING",NAV90AI,"ADVANCED RESEARCH PROJECT
AND DISSERTATION",1,"36,760","55,130"
D_ENGM,"DOCTOR OF ENGINEERING IN
MECHANICAL ENGINEERING",GNA90AI,"ADVANCED RESEARCH PROJECT
AND DISSERTATION",1,"36,760","55,130"
D_ITEC,"DOCTOR OF PHILOSOPHY IN
INFORMATION TECHNOLOGY",ARD90AB,"ADVANCED RESEARCH PROJECT
AND DISSERTATION",1,"37,950","56,920"
,,,,,,
,FACULTY OF MANAGEMENT SCIENCES,,,,,
"QUALIFICATI
ON
CODE",QUALIFICATION NAME,"SUBJECT
CODE",SUBJECT NAME,"STUDY
PERIO
D","SA/SADC
STUDENT
FEE","FOREIGN
STUDENT
FEE"
HCCDWG,"HC COMMUNITY DEVELOPMENT
WORK",DGL11AB,DIGITAL LITERACY,1,"3,250","4,930"
,,ERD12AB,ETHICS RIGHTS AND DEMOCRACY,1,"2,470","3,700"
,,LCS5011,"ACADEMIC LITERACY AND COMMUNICATION
STUDIES",1,"1,480","2,210"
,,LCS5012,"ACADEMIC LITERACY AND COMMUNICATION
STUDIES",1,"1,480","2,210"
,,LMP11AB,LEGISLATION AND MUNICIPAL PROCESSES,1,"2,470","3,700"
,,NMR11AB,NUMERACY,1,"3,170","4,760"
,,PDP11AB,PARTICIPATIVE DEVELOPMENT PRACTICES I,1,"2,470","3,700"
,,PDP12AB,PARTICIPATIVE DEVELOPMENT PRACTICES,1,"2,530","3,790"
,,PIM5011,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,PIM5012,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,POP12AB,PROJECT MANAGEMENT,1,"2,470","3,700"
,,SDT11AB,SUSTAINABLE DEVELOPMENT THEORY,1,"2,470","3,700"
,,SDT12AB,SUSTAINABLE DEVELOPMENT THEORY,1,"2,470","3,700"
,,WIL12AB,WORK INTEGRATED LEARNING,1,"2,470","3,700"
BRHSAB,NHC: ACCOUNTANCY,BCL11AB,BUSINESS CALCULATIONS I,1,"2,680","4,040"
,,BIS11AB,BUSINESS INFORMATION SYSTEMS I,1,"3,510","5,270"
,,BIS12AB,BUSINESS INFORMATION SYSTEMS I,1,"3,510","5,270"
,,CLA12AB,COMMERCIAL LAW FOR ACCOUNTANTS I,1,"2,680","4,040"
,,COM11AB,COMMUNICATION I,1,"2,680","4,040"
,,EKN12EB,ECONOMICS I,1,"2,680","4,040"
,,EVG12AB,ENTREPRENEURAL SKILLS I,1,"2,900","4,360"
,,KRK12AB,COST ACCOUNTING I,1,"2,680","4,040"
,,PIM5011,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,PIM5012,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,PRE1A,ENGLISH PROFICIENCY,1,"2,850","4,270"
,,PRE2B,ENGLISH PROFICIENCY,1,"2,980","4,470"
,,REK11CB,FINANCIAL ACCOUNTING I,1,"2,690","4,040"
,,REK12CB,FINANCIAL ACCOUNTING I,1,"2,680","4,040"
,,ATS11AB,ACCOUNTING SOFTWARE,2,"2,690","4,040"
,,ATS12AB,ACCOUNTING SOFTWARE,2,"2,690","4,040"
,,BEL12BB,TAXATION I,2,"2,680","4,040"
,,CLA21AB,COMMERCIAL LAW FOR ACCOUNTANTS II,2,"2,680","4,040"
,,KRK21AB,COST ACCOUNTING II,2,"2,660","4,000"
,,KRK22AB,COST ACCOUNTING II,2,"2,680","4,040"
,,ODT21BB,AUDITING II,2,"2,680","4,040"
,,ODT22BB,AUDITING II,2,"2,680","4,040"
,,REK21CB,FINANCIAL ACCOUNTING II,2,"3,370","5,080"
,,REK22CB,FINANCIAL ACCOUNTING II,2,"3,370","5,080"
,,EKN11EB,ECONOMICS I,3,"2,680","4,040"
BRHSFA,"NHC: FINANCIAL INFORMATION
SYSTEMS",BCL11AB,BUSINESS CALCULATIONS I,1,"2,680","4,040"
,,CLA12AB,COMMERCIAL LAW FOR ACCOUNTANTS I,1,"2,680","4,040"
,,COM11AB,COMMUNICATION I,1,"2,680","4,040"
,,EVG12AB,ENTREPRENEURAL SKILLS I,1,"2,900","4,360"
,,FIL11AB,FINANCIAL INFORMATION SYSTEMS I,1,"3,370","5,080"
,,FIL12AB,FINANCIAL INFORMATION SYSTEMS I,1,"3,370","5,080"
,,KRK12AB,COST ACCOUNTING I,1,"2,680","4,040"
,,PIM5011,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,PIM5012,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,PRE1A,ENGLISH PROFICIENCY,1,"2,850","4,270"
,,PRE2B,ENGLISH PROFICIENCY,1,"2,980","4,470"
,,REK11CB,FINANCIAL ACCOUNTING I,1,"2,690","4,040"
,,REK12CB,FINANCIAL ACCOUNTING I,1,"2,680","4,040"
,,BEL12BB,TAXATION I,2,"2,680","4,040"
,,FIL21AB,FINANCIAL INFORMATION SYSTEMS II,2,"3,370","5,080"
,,FIL22AB,FINANCIAL INFORMATION SYSTEMS II,2,"3,370","5,080"
,,KRK21AB,COST ACCOUNTING II,2,"2,660","4,000"
,,KRK22AB,COST ACCOUNTING II,2,"2,680","4,040"
,,ODT21BB,AUDITING II,2,"2,680","4,040"
,,ODT22BB,AUDITING II,2,"2,680","4,040"
,,REK21CB,FINANCIAL ACCOUNTING II,2,"3,370","5,080"
,,REK22CB,FINANCIAL ACCOUNTING II,2,"3,370","5,080"
,,SOS11AB,SOFTWARE APPLICATIONS I,2,"3,990","5,980"
,,SOS12AB,SOFTWARE APPLICATIONS I,2,"3,510","5,270"
BRNDAJ,N DIP INTERNAL AUDITING,BCL11AB,BUSINESS CALCULATIONS I,1,"2,680","4,040"
,,BIS11AB,BUSINESS INFORMATION SYSTEMS I,1,"3,510","5,270"
,,BIS12AB,BUSINESS INFORMATION SYSTEMS I,1,"3,510","5,270"
,,CLA12AB,COMMERCIAL LAW FOR ACCOUNTANTS I,1,"2,680","4,040"
,,COM11AB,COMMUNICATION I,1,"2,680","4,040"
,,EKN12EB,ECONOMICS I,1,"2,680","4,040"
,,EVG12AB,ENTREPRENEURAL SKILLS I,1,"2,900","4,360"
,,KRK12AB,COST ACCOUNTING I,1,"2,680","4,040"
,,PRE1A,ENGLISH PROFICIENCY,1,"2,850","4,270"
,,PRE2B,ENGLISH PROFICIENCY,1,"2,980","4,470"
,,REK11CB,FINANCIAL ACCOUNTING I,1,"2,690","4,040"
,,REK12CB,FINANCIAL ACCOUNTING I,1,"2,680","4,040"
,,ATS11AB,ACCOUNTING SOFTWARE,2,"2,690","4,040"
,,ATS12AB,ACCOUNTING SOFTWARE,2,"2,690","4,040"
,,BEL12BB,TAXATION I,2,"2,680","4,040"
,,CLA21AB,COMMERCIAL LAW FOR ACCOUNTANTS II,2,"2,680","4,040"
,,KRK21AB,COST ACCOUNTING II,2,"2,660","4,000"
,,KRK22AB,COST ACCOUNTING II,2,"2,680","4,040"
,,ODT21BB,AUDITING II,2,"2,680","4,040"
,,ODT22BB,AUDITING II,2,"2,680","4,040"
,,REK21CB,FINANCIAL ACCOUNTING II,2,"3,370","5,080"
,,REK22CB,FINANCIAL ACCOUNTING II,2,"3,370","5,080"
,,BEL21BB,TAXATION II,3,"2,680","4,040"
,,BEL22BB,TAXATION II,3,"2,680","4,040"
,,BIS21AB,BUSINESS INFORMATION SYSTEMS II,3,"3,990","5,980"
,,BIS22AB,BUSINESS INFORMATION SYSTEMS II,3,"3,510","5,270"
,,CRP21AB,CORPORATE PROCEDURES II,3,"2,680","4,040"
,,EKN11EB,ECONOMICS I,3,"2,680","4,040"
,,IDT31DB,INTERNAL AUDITING III,3,"2,680","4,040"
,,IDT32DB,INTERNAL AUDITING III,3,"2,680","4,040"
,,REK31CB,FINANCIAL ACCOUNTING III,3,"2,680","4,040"
,,REK32CB,FINANCIAL ACCOUNTING III,3,"2,680","4,040"
,,STC22AB,STATISTICS II,3,"2,680","4,040"
BRNDTJ,"N DIP COST AND MANAGEMENT
ACCOUNTING",BCL11AB,BUSINESS CALCULATIONS I,1,"2,680","4,040"
,,BIS11AB,BUSINESS INFORMATION SYSTEMS I,1,"3,510","5,270"
,,BIS12AB,BUSINESS INFORMATION SYSTEMS I,1,"3,510","5,270"
,,BSR31AB,MANAGEMENT ACCOUNTING III,1,"2,680","4,040"
,,BSR32AB,MANAGEMENT ACCOUNTING III,1,"2,680","4,040"
,,CLA12AB,COMMERCIAL LAW FOR ACCOUNTANTS I,1,"2,680","4,040"
,,COM11AB,COMMUNICATION I,1,"2,680","4,040"
,,EKN12EB,ECONOMICS I,1,"2,680","4,040"
,,EVG12AB,ENTREPRENEURAL SKILLS I,1,"2,900","4,360"
,,KRK12AB,COST ACCOUNTING I,1,"2,680","4,040"
,,PIM5011,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,PRE1A,ENGLISH PROFICIENCY,1,"2,850","4,270"
,,PRE2B,ENGLISH PROFICIENCY,1,"2,980","4,470"
,,REK11CB,FINANCIAL ACCOUNTING I,1,"2,690","4,040"
,,REK12CB,FINANCIAL ACCOUNTING I,1,"2,680","4,040"
,,ATS11AB,ACCOUNTING SOFTWARE,2,"2,690","4,040"
,,ATS12AB,ACCOUNTING SOFTWARE,2,"2,690","4,040"
,,BEL12BB,TAXATION I,2,"2,680","4,040"
,,CLA21AB,COMMERCIAL LAW FOR ACCOUNTANTS II,2,"2,680","4,040"
,,KRK21AB,COST ACCOUNTING II,2,"2,660","4,000"
,,KRK22AB,COST ACCOUNTING II,2,"2,680","4,040"
,,ODT21BB,AUDITING II,2,"2,680","4,040"
,,ODT22BB,AUDITING II,2,"2,680","4,040"
,,REK21CB,FINANCIAL ACCOUNTING II,2,"3,370","5,080"
,,REK22CB,FINANCIAL ACCOUNTING II,2,"3,370","5,080"
,,BEL21BB,TAXATION II,3,"2,680","4,040"
,,BEL22BB,TAXATION II,3,"2,680","4,040"
,,BSS22AB,BUSINESS STATISTICS II,3,"3,230","4,850"
,,CRP21AB,CORPORATE PROCEDURES II,3,"2,680","4,040"
,,EKN11EB,ECONOMICS I,3,"2,680","4,040"
,,ORM31AB,ORGANISATIONAL MANAGEMENT III,3,"2,680","4,040"
,,ORM32AB,ORGANISATIONAL MANAGEMENT III,3,"2,680","4,040"
,,REK31CB,FINANCIAL ACCOUNTING III,3,"2,680","4,040"
,,REK32CB,FINANCIAL ACCOUNTING III,3,"2,680","4,040"
BSNDTD,"N DIP OFFICE MANAGEMENT
AND TECHNOLOGY",COM10AS,COMMUNICATION I,1,"5,320","7,990"
,,PBS10CB,HUMAN RESOURCES MANAGEMENT I,1,"5,320","7,990"
,,PIM5011,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,PIM5012,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,PRE1A,ENGLISH PROFICIENCY,1,"2,850","4,270"
,,PRE2B,ENGLISH PROFICIENCY,1,"2,980","4,470"
,,RGP10AB,LEGAL PRACTICE I,1,"5,320","7,990"
,,COM20AS,COMMUNICATION II,2,"5,320","7,990"
,,HRG10CB,MERCANTILE LAW I,2,"5,320","7,990"
,,HRG20BB,MERCANTILE LAW II,2,"5,320","7,990"
,,PBS20CB,HUMAN RESOURCES MANAGEMENT II,2,"5,320","7,990"
,,RGP20AB,LEGAL PRACTICE II,2,"5,320","7,990"
,,SAD20BS,BUSINESS ADMINISTRATION II,2,"5,320","7,990"
,,ERV30ZS,EXPERIENTIAL TRAINING III,3,"7,800","11,690"
,,IAD30AS,INFORMATION ADMINISTRATION III,3,"7,800","11,710"
,,SAD30BS,BUSINESS ADMINISTRATION III,3,"5,320","7,990"
BTNDTA,N DIP TOURISM MANAGEMENT,PIM5011,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,PIM5012,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,PRE1A,ENGLISH PROFICIENCY,1,"2,850","4,270"
,,PRE2B,ENGLISH PROFICIENCY,1,"2,980","4,470"
,,PTM21AS,WIL: TOURISM MANAGEMENT PRACTICE II,3,"5,340","8,030"
,,PTM22AS,WIL: TOURISM MANAGEMENT PRACTICE II,3,"5,340","8,030"
,,RTB31AS,TRAVEL AND TOURISM MANAGEMENT III,3,"2,840","4,280"
,,RTP31AS,TRAVEL AND TOURISM PRACTICE III,3,"2,840","4,280"
DP_HRM,"DIPLOMA IN HUMAN
RESOURCES MANAGEMENT",AHP115E,ACCOUNTING FOR HRMP I,1,"2,660","4,000"
,,AHP125E,ACCOUNTING FOR HRMP I,1,"2,660","4,000"
,,ARG11AB,LABOUR LAW I,1,"2,660","4,000"
,,ARG12AB,LABOUR LAW I,1,"2,660","4,000"
,,BMI115E,BUSINESS MANAGEMENT I,1,"2,660","4,000"
,,BMI125E,BUSINESS MANAGEMENT I,1,"2,660","4,000"
,,DLC5012,BASIC DIGITAL LITERACY,1,"3,250","4,930"
,,HRM115E,HUMAN RESOURCES MANAGEMENT I,1,"3,230","4,850"
,,HRM125E,HUMAN RESOURCES MANAGEMENT I,1,"3,230","4,850"
,,LCS5011,"ACADEMIC LITERACY AND COMMUNICATION
STUDIES",1,"1,480","2,210"
,,LCS5012,"ACADEMIC LITERACY AND COMMUNICATION
STUDIES",1,"1,480","2,210"
,,MFB122,MATHEMATICS FOR BUSINESS,1,"2,660","4,000"
,,PIM5011,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,PIM5012,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,QTH115E,QUANTITATIVE TECHNIQUES I,1,"2,660","4,000"
,,QTH125E,QUANTITATIVE TECHNIQUES I,1,"2,660","4,000"
,,BMI216E,BUSINESS MANAGEMENT II,2,"2,660","4,000"
,,BMI226E,BUSINESS MANAGEMENT II,2,"2,660","4,000"
,,HRI115C,HUMAN RESOURCES INFORMATION SYSTEM,2,"3,220","4,890"
,,HRI125C,HUMAN RESOURCES INFORMATION SYSTEM,2,"3,220","4,850"
,,HRM216E,HUMAN RESOURCES MANAGEMENT II,2,"2,660","4,000"
,,HRM226E,HUMAN RESOURCES MANAGEMENT II,2,"3,230","4,850"
,,IRS116E,INDUSTRIAL RELATIONS I,2,"2,660","4,000"
,,IRS126E,INDUSTRIAL RELATIONS I,2,"2,660","4,000"
,,MOT116E,MANAGEMENT OF TRAINING I,2,"2,660","4,000"
,,MOT126E,MANAGEMENT OF TRAINING I,2,"2,660","4,000"
,,BMI316E,BUSINESS MANAGEMENT III,3,"2,660","4,000"
,,BMI326E,BUSINESS MANAGEMENT III,3,"2,660","4,000"
,,HRM116W,WIL FOR HUMAN RESOURCES MANAGEMENT,3,"2,660","4,000"
,,HRM126W,WIL FOR HUMAN RESOURCES MANAGEMENT,3,"2,660","4,000"
,,HRM316E,HUMAN RESOURCES MANAGEMENT III,3,"2,660","4,000"
,,HRM326E,HUMAN RESOURCES MANAGEMENT III,3,"2,660","4,000"
,,IRS216E,INDUSTRIAL RLEATIONS II,3,"2,660","4,000"
,,IRS226E,INDUSTRIAL RELATIONS II,3,"2,660","4,000"
,,MOT216E,MANAGEMENT OF TRAINING II,3,"2,660","4,000"
,,MOT226E,MANAGEMENT OF TRAINING II,3,"2,660","4,000"
DP_HSM,"DIPLOMA IN HOSPITALITY
MANAGEMENT",AMP11AT,"ACCOMMODATION MANAGEMENT I:
PRACTICAL",1,"1,800","2,700"
,,AMP12AT,ACCOMMODATION MANAGEMENT I: PRACTICAL,1,"1,800","2,700"
,,AMT11AT,ACCOMMODATION MANAGEMENT I: THEORY,1,"1,800","2,710"
,,AMT12AT,ACCOMMODATION MANAGEMENT I: THEORY,1,"1,800","2,710"
,,CSP11AB,CULINARY STUDIES PRACTICAL I,1,"2,870","4,310"
,,CSP12AB,CULINARY STUDIES PRACTICAL I,1,"3,000","4,500"
,,CST11AB,CULINARY STUDIES: THEORY I,1,"1,800","2,700"
,,CST12AB,CULINARY STUDIES THEORY I,1,"1,800","2,700"
,,DLC5011,BASIC DIGITAL LITERACY,1,"3,290","4,940"
,,DLC5012,BASIC DIGITAL LITERACY,1,"3,250","4,930"
,,FBS11AP,FOOD AND BEVERAGE STUDIES I: PRACTICAL,1,"2,870","4,310"
,,FBS11AT,FOOD AND BEVERAGE STUDIES I: THEORY,1,"1,800","2,710"
,,FBS12AP,FOOD AND BEVERAGE STUDIES I: PRACTICAL,1,"2,790","4,180"
,,FBS12AT,FOOD AND BEVERAGE STUDIES I: THEORY,1,"1,800","2,710"
,,FSA11BV,FIRST AID,1,"1,320","1,980"
,,HFM11AT,HOSPITALITY FINANCIAL MANAGEMENT I,1,"1,800","2,690"
,,HFM12AT,HOSPITALITY FINANCIAL MANAGEMENT I,1,"1,800","2,690"
,,HHS11AT,HOSPITALITY HEALTH AND SAFETY I,1,720,"1,080"
,,HHS12AT,HOSPITALITY HEALTH AND SAFETY I,1,720,"1,080"
,,HMM11AT,HOSPITALITY MANAGEMENT I,1,"1,800","2,710"
,,HMM12AT,HOSPITALITY MANAGEMENT I,1,"1,800","2,710"
,,KNF11BV,KNIFE SET,1,"6,200","9,300"
,,LCS5011,"ACADEMIC LITERACY AND COMMUNICATION
STUDIES",1,"1,480","2,210"
,,LCS5012,"ACADEMIC LITERACY AND COMMUNICATION
STUDIES",1,"1,480","2,210"
,,NMR5011,NUMERACY,1,"4,500","6,750"
,,PIM5011,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,PIM5012,PERSONAL INFORMATION MANAGEMENT,1,-,-
,,UFM11BV,UNIFORM,1,"11,580","17,370"
,,HSM11W,WIL FOR HOSPITALITY MANAGEMENT,2,"2,000","3,000"
,,ITW12BV,INTRODUCTION TO WINE,2,"2,400","3,590"
,,HSM22W,WIL FOR HOSPITALITY MANAGEMENT,3,"2,000","3,000"
EX_HSM,"ECP DIPLOMA IN HOSPITALITY
MANAGEMENT",AMP01AT,ACCOMMODATION MANAGEMENT I: PRACTICAL,1,"1,800","2,700"
,,AMP02AT,ACCOMMODATION MANAGEMENT I: PRACTICAL,1,"1,800","2,700"
,,AMT01AT,ACCOMMODATION MANAGEMENT I: THEORY,1,"1,800","2,700"
,,AMT02AT,ACCOMMODATION MANAGEMENT I: THEORY,1,"1,800","2,700"
,,CSP01AB,CULINARY STUDIES PRACTICAL I,2,"3,000","4,500"
,,CSP12AB,CULINARY STUDIES PRACTICAL I,2,"3,000","4,500"
,,CST01AB,CULINARY STUDIES: THEORY I,2,"1,800","2,700"
,,CST02AB,CULINARY STUDIES THEORY I,2,"1,800","2,700"
,,FBS01AP,FOOD AND BEVERAGE STUDIES I: PRACTICAL,2,"3,000","4,500"
,,FBS01AT,FOOD AND BEVERAGE STUDIES I: THEORY,2,"1,800","2,700"
,,FBS02AP,FOOD AND BEVERAGE STUDIES I: PRACTICAL,2,"2,910","4,350"
,,FBS02AT,FOOD AND BEVERAGE STUDIES I: THEORY,2,"1,800","2,700"
,,FSA11BV,FIRST AID,2,"1,320","1,980"
,,HFM01AT,HOSPITALITY FINANCIAL MANAGEMENT I,1,"1,800","2,700"
,,HFM02AT,HOSPITALITY FINANCIAL MANAGEMENT I,1,"1,800","2,700"
,,HHS01AT,HOSPITALITY HEALTH AND SAFETY I,1,720,"1,080"
,,HHS02AT,HOSPITALITY HEALTH AND SAFETY I,1,720,"1,080"
,,HMM01AT,HOSPITALITY MANAGEMENT I,1,"1,800","2,710"
,,HMM02AT,HOSPITALITY MANAGEMENT I,1,"1,800","2,710"
,,KNF11BV,KNIFE SET,2,"6,200","9,300"
,,LCS5011,"ACADEMIC LITERACY AND COMMUNICATION
STUDIES",2,"1,480","2,210"
,,LCS5012,"ACADEMIC LITERACY AND COMMUNICATION
STUDIES",2,"1,480","2,210"
,,NMR5011,NUMERACY,2,"4,500","6,750"
,,PIM5011,PERSONAL INFORMATION MANAGEMENT,2,-,-
,,PIM5012,PERSONAL INFORMATION MANAGEMENT,2,-,-
,,UFM11BV,UNIFORM,1,"11,580","17,370"
,,ITW12BV,INTRODUCTION TO WINE,2,"2,400","3,590"
,,ACM21AT,Accommodation Management II,3,"2,790","4,310"
,,CSN21AT,Culinary Studies and Nutrition II,3,"2,790","4,190"
,,FBV21TP,Food and Beverage Studies II,3,"2,790","4,190"
,,HCM11AT,Hospitality Communication I,3,"1,400","2,100"
,,HFM21AT,Hospitality Financial Management II,3,"2,790","4,190"
,,HIL11AT,Hospitality Industry Law I,3,"2,790","4,180"
,,HIS11AT,Hospitality Information Systems I,3,"2,790","4,190"
,,HMM21AT,Hospitality Management II,3,"2,790","4,180"
,,HMK11AT,Hospitality Marketing I,3,"2,790","4,180"
,,HSE11AT,Hospitality Service Excellence I,3,"1,400","2,100"
,,ACM32AT,Accommodation Management III,3,"6,290","9,420"
